,Company Name,Salary_USD,Rating
188,ALSTOM,7828,3.8
189,ALTA IT Solutions,2601,4.8
190,ALTEN,2409,3.3
191,"ALTRUISTA HEALTH, INC.",10068,3.4
192,AM Technical Solutions,36130,4.4
193,AMC Square Learning,2312,4.5
194,AMD,22279,4.2
195,AMEX International,14452,3.4
196,AMIT,10417,3.6750000000000003
197,AMITA Health,13248,3.3
198,AMP Motors,3613,4.1
199,ANCIT Consulting,4311,4.0
200,ANM Industrial Solutions,8430,4.4
201,ANMsoft,3613,2.5
202,ANR Software,3950,3.4
203,ANSR Source,6022,4.1
204,ANScommerce,3107,3.3
205,ANZ,28904,4.1
206,AOL,19269,3.6
207,APC Construction Co.,8430,2.0
208,APOLLO PIPES,1445,3.4
209,APTOnline,1156,3.8
210,APTRON Solutions,2312,4.3
211,AR,7828,4.0
212,AR XTLabs,4817,3.0
213,ARC Document Solutions,19871,3.5
214,ARC International Fertility and Research Centre,3035,3.5
215,ARCON TechSolutions,3613,4.1
216,ARI,7226,3.8
217,ARM Embedded Technologies,18065,4.8
218,AROHA TECHNOLOGIES,6022,3.6
219,ARTECH,7226,3.8
220,ARVI Systems & Controls,2168,2.5
221,ARVS IT Solutions,2168,4.1
222,ARi,6214,3.2
223,ASAP Kerala,13710,4.6
224,ASDA,5742,3.5
225,ASDA group,3035,3.9
226,ASDF Web Hosting,2408,4.05
227,ASEF,2409,1.6
228,ASETS-LUX,1879,2.7
229,ASHR Datatech,2409,3.8
230,ASK-Fast,6022,4.7
231,ASM Assembly Systems,6022,3.2
232,ASM Technologies,9562,3.9
233,ASMobisoft,8382,3.6
234,ASSA ABLOY,8960,3.7
235,ASUS,1204,3.6
236,ASZ Technologies,9635,3.0
237,AT,30108,4.0
238,AT&T,8831,3.7000000000000006
239,ATEM software,7226,3.9
240,ATG,1879,3.9
241,ATMECS,16057,3.7999999999999994
242,ATS Infrastructure,6022,3.4
243,AU Small Finance Bank,16860,4.3
244,AVASOFT,3637,3.5
245,AVEVA,10977,3.8
246,AVI Limited,22882,3.5
247,AVIN Systems,4817,3.9
248,AVL India Software,3613,3.7
249,AVU Business Solution,2409,2.7
250,AVYAIT,2312,3.8
251,AWL,3613,3.8
252,AWS Elemental,37334,4.1
253,AXA,8960,3.9
254,AXALT Technologies,2168,1.5
255,AYN InfoTech,7418,3.2000000000000006
256,AZURE HR,13440,3.7
257,Aabasoft,1590,4.2
258,Aadolf,34925,4.0
259,Aadya Infotech,8430,3.9
260,Aahlaad,7226,2.7
261,Aakash Educational Services,8285,3.9
262,Aakash Informatics,2409,5.0
263,Aalgro,1373,2.8
264,Aalpine IT Services,2023,4.0
265,AanaxagorasR,14452,3.4
266,AapkaPainter Solutions,3613,4.6
267,Aapti techno soft Pvt Ltd,5203,3.9
268,Aara Tech,2023,3.1
269,Aarif & Associates,7226,5.0
270,Aarna Systems,5684,4.2
271,Aarnum Technologies,1301,1.8
272,Aarvee Idea Labs,5203,4.0
273,Aaryan Industries,9635,5.0
274,Aasaanjobs.com,16860,3.8
275,Aasfa Global Group,2457,4.0
276,Aasha murthy,9972,4.1
277,Aashi,4191,3.7
278,AavidSoft,2168,3.4
279,Aayansh Germinate,2601,4.5
280,Ab,7226,3.9
281,Abacus Peripherals,4047,2.7
282,Abacusdesk IT Solutions,2409,4.2
283,Abbott,5058,3.9
284,Abc (India),16860,3.8
285,"Abc,(India)",9635,4.0
286,Abcdef (India),9635,3.8
287,Abcdefg Naming Agency,3613,3.8
288,Aberame,3613,3.0
289,Abhay Kumar Behki,1012,4.0
290,Abhay Techno Services,5419,4.2
291,Abhay Techsolutions,3757,2.2
292,Abhay garg,4817,4.0
293,AbhiBus Services,3179,4.5
294,Abhigyan Sharma,7226,4.0
295,Abhijeet Group,9635,3.7
296,Abhijeet Saha,3613,3.9
297,Abhirup Web Shringar,2457,3.5
298,Abhishek Enterprises,7828,4.0
299,Abhishek Industries,8285,4.1
300,Abhishek rai,9635,4.0
301,Abof,2409,4.5
302,Abu Dhabi Commercial Bank,3613,3.8
303,Abu Jani Sandeep Khosla,2409,3.3
304,Aburi,7226,2.8
305,Abyeti Technologies,4697,3.6
306,Abylle Solutions,16860,4.9
307,Abzooba,19269,4.6
308,Acceltree Softwares,3468,3.7
309,Accelya Group,8831,3.6666666666666665
310,Accenflair IT Solutions,2890,5.0
311,Accentuate IT Solutions,10550,3.4
312,Accentue,11441,4.1
313,Accenture,7444,4.1
314,Accenture Solutions,7828,4.2
315,AcceptanceNOW,12043,3.0
316,Access Automation,4745,3.0
317,Access Indian Solution,2168,3.6
318,Accion,9635,3.9
319,Accion Labs,11240,4.3
320,Acclivis Technologies,6648,3.8
321,Acclivity Healthcare,2168,4.6
322,Accolade,3613,3.5
323,Accolite Digital,6837,4.1
324,Accordion,2457,3.4
325,Accountant-General's Dept,2023,3.7
326,Accrete Hitech Solutions,12718,3.9
327,Accretion Info Systems,6022,4.0
328,Accucia,4215,4.7
329,Accuracy First Diagnostics,4817,4.5
330,Accurate Innovative Business Solutions,6022,3.8
331,AceInvent IT Solutions,1156,4.5
332,AceNet,3613,4.9
333,Acelerar Technologies,2409,4.9
334,Acelr Tech Labs,1204,3.2
335,Acespritech Solutions,6937,3.9
336,Acess Meditech,2168,4.5
337,Acevin Solutions,2601,3.8
338,Achala Solutions,8430,4.2
339,Acharya Nagarjuna University,2312,3.4
340,Aclara,17462,3.6500000000000004
341,Acmatics Technologies,145,3.5
342,Acmeture,15656,5.0
343,Aconex,30108,4.5
344,Acquia,18065,4.3
345,Acquire,13729,4.0
346,Acquire Information Systems,2168,4.6
347,Acriters Technologies,6022,4.5
348,Across The Globe,1037,4.2
349,Actiance,9635,2.9
350,Activ4Pets,6022,1.9
351,Activa,6022,3.9
352,Active Intelligence,10839,4.0
353,Acumensa Technologies,2023,4.0
354,Acuminous Software,2409,5.0
355,Acuradyne Systems,9635,5.0
356,Acuvate Software,7226,3.9
357,Acviss,5419,3.6
358,AdAid,6022,4.8
359,AdColony,1204,4.1
360,AdSparkx Media,3613,4.3
361,AdStuck,6527,3.7
362,AdView Technology,9635,2.3
363,Ada Insys,6070,3.9
364,Adaalo,2409,3.7
365,Adaequare,6624,4.5
366,Adani Group,6022,3.9
367,Adaps,3613,4.6
368,Adapt Solutions,6937,3.3
369,AdaptABiz,2746,4.1
370,Adaptive Processes Consulting,4817,5.0
371,Adaptive US,3902,4.7
372,Adaptiz,4480,4.0
373,Adarsh chouhan,10839,4.1
374,Adcuratio,4978,3.8333333333333335
375,Add Technologies,3613,3.3
376,Adda 247,3613,3.9
377,Addpro Network,4817,4.4
378,Addverb Technologies,7707,4.0
379,Adea,19269,2.9
380,Adecco,11682,3.7
381,Adeptech Systems,16860,4.0
382,Adevole,2312,3.5
383,Adglobal360,6397,4.0
384,Adinnovo Marketing Solutions,1734,3.7
385,Adithya,4624,4.5
386,Aditi,7097,3.6
387,Aditsh Fin Services,4817,3.2
388,Aditya Agarwal,10839,4.0
389,Aditya Birla Group,10437,4.0
390,Aditya Birla Money,4817,4.0
391,Aditya Birla Sun Life Insurance,2409,3.8
392,Aditya Enterprises,3789,3.8333333333333335
393,Aditya Sharma,2409,4.0
394,Aditya Trading Solutions,3179,3.7
395,Adjetter,7146,4.1
396,Adloid,11240,4.1
397,Admission24,7226,3.6
398,AdmitKard,5218,4.0
399,Adnate IT Solutions LLP,5492,3.8
400,Adnig Technologies,2409,3.5
401,Adobe,12988,4.4
402,Adodis Technologies,2794,3.5
403,Adore Infotech,2023,2.9
404,Adori Labs,7226,3.5
405,Adreno Technologies,6214,4.6
406,Adrobit Technologies,5781,4.7
407,Adroit Business Solutions,7659,3.4
408,Adroit Software,4817,4.1
409,Adroit Web Technologies,2409,4.0
410,Adroitent,7226,3.7
411,AdsKaro,3613,2.2
412,AdsNative,10839,4.0
413,Adsandurl,5781,4.1
414,Adsiduous Media,3613,3.9
415,Adstock Global International,1734,4.0
416,Advanced,4817,3.7
417,Advanced Millennium Technologies,4817,4.5
418,Advanced Structures India,2409,4.7
419,Advantage Club,5226,4.8
420,Advaxis,5636,2.4
421,Advenser,3613,4.3
422,Adventa,19269,3.3
423,AdverScribe,3035,3.4
424,Advertise.com,19269,3.9
425,Advira Tech,3757,4.0
426,Advisor Labs,7226,4.7
427,Advisory Board,4215,4.0
428,Adwaita Solutions,9635,2.7
429,Adwaitham Global IT Solutions,4817,4.3
430,Adwitech Info Systems,87915,5.0
431,Adya,1879,3.5
432,Adzmedia,13440,4.1
433,Aegis,1734,3.4
434,Aegis Consulting (India),10839,3.6
435,Aegis Media,5492,2.8
436,Aeione,20473,4.1
437,Aequalis,6214,4.6
438,Aequor Technologies,3035,4.0
439,Aequs,4817,3.5
440,Aera Technology,13849,4.2
441,Aerchain,7226,4.0
442,Aeries Technology,17663,4.166666666666667
443,AeroTEC,723,3.5
444,Aerojet Rocketdyne,14452,3.7
445,Aeronautical Development Agency,3649,3.9
446,Aestas Software Solutions,5997,4.0
447,Aetna,3613,3.5
448,Aexonic Technologies,7226,3.9
449,Affine,19269,4.1
450,Affine IT Services,3179,4.8
451,Affinity,3613,4.4
452,AffinityX,1734,3.1
453,Affle,9183,4.1
454,Affordplan,9032,3.8
455,Afinoz,4769,3.1
456,Afluex Multiservices,2023,4.0
457,Aforeserve.com,2746,3.6
458,Afterglow Tech,4817,4.0
459,Agami Technologies,6262,4.45
460,Agarwal & Dhandhania,10839,4.0
461,Agathsya Technologies,5419,3.7
462,Aggne Global It Services,6022,4.0
463,Agicent Technologies,3410,3.8
464,Agile CRM,7226,3.2
465,Agile Rise Software Services,1012,3.1
466,Agile Soft Systems,12043,4.3
467,Agile Softech,1301,3.5
468,Agilent Technologies,12043,4.2
469,Agiliad Technologies,9635,3.9
470,Agiliq Info Solutions India,4817,4.3
471,Agilisium,8430,4.1
472,Agility,6021,3.6
473,Agility E Services,9635,3.6
474,AgilizTech Software Services,4817,4.3
475,Agnik,3613,4.8
476,Agnitio,2938,3.733333333333333
477,Agnity,19269,4.2
478,Agnos,5720,4.8
479,Agnostic Solutions,6022,3.7
480,Agon IT Solutions,4817,4.1
481,Agranee Solutions,12043,4.3
482,AgriGators Enterprises,1879,3.7
483,Agrifi,9635,5.0
484,AgroStar,11080,4.4
485,Agrometrics,2312,4.2
486,Agumentik,2240,3.0
487,Aha 3D Innovations,1012,3.7
488,Ahaguru Educational technology,4191,4.5
489,Ahalya Labs,1204,1.8
490,Ahana Systems & Solutions,9032,4.3
491,Ahana Systems and Solutions,3613,3.4
492,Ahead WebSoft Technologies,4817,5.0
493,Ahex Technologies,4648,3.8
494,Ahsan Technologies,2168,4.1
495,Ahuja Valecha & Associates Chartered Accountants,14307,4.2
496,Ai Palette,8238,4.4
497,Ai-Connect,7226,3.0
498,AiRobosoft,4336,4.5
499,Aibono,20473,3.4
500,Aideas Engineering,2746,2.8
501,Aidia Technovations,4817,3.4
502,Aigokeros,3902,3.85
503,Aimstorm Solutions,6359,3.9
504,Aiosell,1204,3.0
505,Aipan Technologies,8430,4.0
506,Air Force Weather Agency,4817,4.1
507,AirAsia,9635,3.9
508,AirProbe,5323,4.7
509,Airaa Corporates,3468,4.8
510,Airblack Technologies,19269,4.3
511,Airborne,4817,3.85
512,Airbus,13649,4.1
513,Airfort Network,3902,3.0
514,Airpush,9233,3.5
515,Airtory,3902,4.1
516,Airveda,12043,4.2
517,Aishan Technologies,4625,2.7
518,Aishwarya,2409,4.4
519,Aizel technologies,6022,4.0
520,Ajath,3613,3.9
521,Ajathinfotech Technologies,2167,2.7
522,Ajatus Software,4480,4.3
523,Ajay Kumar Garg Institute of Management Ghaziabad,1590,4.0
524,Ajeet Singh,5781,4.0
525,Ajinkya Chemtech,1204,3.5
526,Ajinomoto,3035,3.8
527,Akaar,4817,4.0
528,Akal Information Systems,6599,4.3
529,Akamai,10017,4.5
530,Akansha sahni,2168,4.0
531,Akaranta software technologies PVt Ltd,3324,3.8
532,Akarmaxs Tech,2409,4.2
533,Akash Technolabs,14452,4.2
534,Akash oberoi,2890,4.0
535,Akashic Ventures,5215,3.6
536,Akhil Systems,8430,3.5
537,Akhila Informatics Centre,3613,3.8
538,AkitaBox,12043,2.8
539,Akken Technologies,3613,2.5
540,Akonect,4336,5.0
541,Akranta Software Technologies,3613,3.0
542,Akron Test Measurement Systems Integrators,2409,3.9
543,Akshamaala,3613,3.1
544,Akshay Bankar,6937,3.9
545,Akshaya,7828,3.9
546,Akshit singh,10839,4.0
547,Al Garawi Group,13007,4.0
548,Al-Jazirah,145,3.9
549,Alabbar Enterprises,6022,3.1
550,Alacriti,8430,4.1
551,Alagesh,3613,4.0
552,Alain Charles Publishing,8430,3.3
553,Alamo Colleges District,6070,3.8
554,Alantra,3613,4.3
555,Albos Technologies,6022,4.0
556,Albuquerque Isotopes,5636,4.0
557,Alcatel-Lucent,11582,4.0
558,Alcax Solutions,9635,5.0
559,Alcea Technologies,2457,5.0
560,Alchemy Digital Media Services,4817,4.0
561,Alchemy Solutions,4769,3.4
562,Alcoholics Anonymous,7226,3.7
563,Alcon,28904,3.9
564,Alef Mobitech,9635,3.6
565,Alethe Labs,6022,3.5
566,Alethea Communications Technologies,3613,4.5
567,Alex mercer,14452,4.0
568,Alfa PEB,4769,2.8
569,Alfalasi Tech,4817,4.4
570,Algo8.ai,867,3.4
571,AlgoJi,2168,4.2
572,AlgonoX Technologies,6623,4.2
573,Algorithmica,6022,3.0
574,Algorythma,50581,3.5
575,Algosoft Apps Technologies,1445,4.2
576,Algoworks Technologies,6365,4.185714285714286
577,Alibaba Group,3468,4.0
578,Alice Blue,6022,2.9
579,Alien Brains,10839,3.9
580,Alight Solutions,8430,3.6
581,Align Technology,20473,4.3
582,Aline Global,3035,3.2
583,Alithya,7659,3.8
584,Alivenet Solution,3324,4.1
585,All Computer Solutions,8430,5.0
586,All E Technologies,4817,4.2
587,All India Radio,16860,4.6
588,All On Block,9635,4.1
589,All Washed Up Cleaning,10839,4.5
590,AllGo Systems,3613,3.7
591,AllRight Jobs,6022,4.0
592,Allegion,14452,3.8
593,Allegis Corporation,9635,4.4
594,Allegis Global Solutions,3613,3.8
595,Allegis Group,6920,3.7999999999999994
596,Alliance Recruitment Agency,12043,4.6
597,Alliance Tek Solutions,7226,4.9
598,Alliance University,25291,3.0
599,Allianz,1204,4.0
