,Company Name,Salary_USD,Rating
2224,Cosmic Strands,4817,4.4
2225,Cosmonet Solutions,4817,3.7
2226,CostBo Services,2409,4.0
2227,Country Delight,3902,4.4
2228,Coupa Software Inc,7828,4.2
2229,CouponDunia,15656,4.3
2230,CouponRani,4817,4.0
2231,Couture AI,7370,2.7
2232,CoverSelf,11128,4.6
2233,Coverfox,7226,4.5
2234,Coviam,7775,4.3
2235,Cozy InfoSystems,2890,3.9
2236,Cqlsys Technologies,6022,4.1
2237,Cradlepoint,11866,4.4
2238,Craft Silicon,3613,3.55
2239,Crakle Technologies,9683,4.0
2240,Cranium IT,7226,3.5
2241,Crate and Barrel,3613,3.6
2242,Craterzone,4367,2.9
2243,Cray,3902,4.0
2244,Crayon Data,4480,4.2
2245,Crayon Infotech,3613,3.6
2246,Cre Innovations,4817,3.6
2247,Creador,3468,4.5
2248,CreateBytes,723,4.0
2249,Creater Technology,3613,3.8
2250,Creative Appography,18065,2.8
2251,Creative Functionapps,4817,4.0
2252,Creative Site IT Services,3035,5.0
2253,Creative Synergies Group,9635,3.6
2254,Creative Thermal Solutions,12043,3.5
2255,Creators Infotek,3902,3.2
2256,Creatronics,10839,3.8
2257,Crebri Technologies,7900,3.2999999999999994
2258,CredAble,13585,3.8
2259,CredAvenue,11160,4.1
2260,CredR,12043,4.0
2261,CredenTek Software & Consultancy,4962,3.0
2262,Credence Analytics,1156,2.8
2263,Credence Technology,6022,4.0
2264,Credflow,4986,4.1
2265,Credgenics,13874,4.6
2266,Credicxo,3821,4.0
2267,Credihealth,6022,2.5
2268,Credit Culture,7804,5.0
2269,Credit Suisse,9816,3.7999999999999994
2270,CreditMantri,2023,2.9
2271,CreditVidya,9634,4.3
2272,Creditsafe Technology,10237,4.8
2273,Crediwatch,10839,3.9
2274,Crejo.Fun,19269,4.7
2275,CrelioHealth,13248,4.6
2276,Creo,3613,4.1
2277,Crescendo WorldWide,4336,3.9
2278,Crescent Sam Affa Enterprises,5203,1.0
2279,Crescerance,8430,3.3
2280,Crest Data Systems,4817,4.0
2281,CrewScale,36130,4.4
2282,CriatoSoft Technologies,3613,4.4
2283,CricClubs,14018,3.0
2284,Cricbuzz,12043,4.1
2285,Crimson Interactive,1204,3.4
2286,CrimsonLogic,6624,3.9
2287,Crimsonbeans,6022,3.5
2288,Crio.Do,5925,4.0
2289,Crion Technologies,6022,4.6
2290,Crofarm,5275,4.3
2291,Cron-J,6022,3.8
2292,CronJ IT Technologies,6022,2.8
2293,Cronycle,4817,4.0
2294,Cross-Seven Technology,6022,5.0
2295,CrossChannel,11995,4.0
2296,Crossdomain Solutions,867,3.3
2297,Crosslight Appmissions,1204,2.2
2298,Crown Castle,13248,3.8
2299,Crown IT,4480,4.5
2300,Crown It,4817,4.1
2301,Crownstack,6530,4.3
2302,CrushIT,723,3.7
2303,Cryptograph Technology,8205,4.8
2304,Cryptosys solution pvt ltd,8960,4.0
2305,Crédit Agricole,14452,3.7
2306,CtrlAltFIX Solutions,6021,4.7
2307,Cubastion Consulting,16258,3.2
2308,Cube26,9634,3.7
2309,Cubeware,4817,3.1
2310,Cubic,14452,3.4
2311,CubicIT Solution,4769,4.3
2312,Cubical Laboratories,11417,3.2
2313,Cuelogic Technologies,12043,4.1
2314,Cumulations Technologies,4415,4.6
2315,Cura Tech,18064,2.8
2316,Cure.Fit,28301,4.1
2317,CureAssist,867,4.3
2318,Curer,4191,4.0
2319,Curious Ventures,3613,4.0
2320,CuriousJr,1084,4.3
2321,Curoso Consulting,7949,3.0
2322,Current,4512,4.3
2323,Cuselleration,289,3.5
2324,Customer Experience Lab,3613,3.4
2325,CustomerXPs,7226,3.3
2326,Cutco,10839,3.8
2327,Cvent,6703,3.8
2328,Cybage Software,6623,3.9
2329,Cybase,2746,4.0
2330,Cyber Infrastructure (CIS),5564,3.4
2331,Cyber Matrix Solutions,3757,4.0
2332,CyberBest Technology,4817,3.4
2333,CyberEye,9995,4.9
2334,CyberSwift,6624,4.5
2335,Cybercom Group,4817,3.7
2336,Cyberlinks Technologies,12043,2.5
2337,Cybermax Solutions,8430,4.0
2338,Cybernoor,25291,4.4
2339,Cybertel USA,2168,3.0
2340,Cybervie,1445,3.7
2341,Cyberworx,5636,3.0
2342,Cyborn,3613,4.0
2343,Cybotrix Technologies,2457,5.0
2344,Cyces,2601,4.0
2345,Cycloides,2457,2.9
2346,Cygilant,5781,3.0
2347,Cyient,4810,3.4285714285714284
2348,Cynosure Corporate Solutions,15656,4.0
2349,Cypherox Technology,6022,4.6
2350,Cyphertree Technologies,7226,3.8
2351,Cypress Semiconductor,7828,3.7
2352,Cytiva,10839,4.0
2353,Cytrion Software Solutions,6022,2.0
2354,Cyware,11116,3.95
2355,D,7226,4.0
2356,D Akhil Reddy,1204,4.0
2357,D CUBE Technologies,3613,4.4
2358,D Square Consulting Services,1445,5.0
2359,D'errico Platinum,10839,4.3
2360,D. E. Shaw India,15484,4.2
2361,D.P. Juza Woods + Fixtures,6022,4.0
2362,D4t4 Solutions,6022,3.8
2363,DAAKI,7226,5.0
2364,DAAS Labs,22882,4.4
2365,DAN Electronic System,4480,3.4
2366,DAT APPS INFOTECH,8430,4.1
2367,DB&A,7057,3.8
2368,DBAce,6070,3.0
2369,DBDS,4817,4.3
2370,DBOI Global Services,1204,3.9
2371,DBS Bank,11463,3.9
2372,DBS Mintek,1879,2.8
2373,DCKAP,3613,4.8
2374,DCT,3902,4.1
2375,DCubeCoders,1204,5.0
2376,DDN Storage,6535,3.9
2377,DEEVIA Software India,6022,4.7
2378,DELOPT,3613,3.6
2379,DEP India,7515,3.2
2380,DFG,12043,3.9
2381,DFG Fidc,1734,2.4
2382,DG,9635,4.0
2383,DG Allen,5781,4.8
2384,DG Hospital,12043,3.6
2385,DHC,1734,3.4
2386,DHFL,2746,3.8
2387,DHL Express,8430,4.0
2388,DICK'S Sporting Goods,12043,3.8
2389,"DINESH KHANNA, M.D., P.A.",3035,3.6
2390,DINESHKUMAR DEVARASU,8430,4.0
2391,DISH,2409,3.1
2392,DISYS,7900,4.0
2393,DJJ Precision Engineering,2746,5.0
2394,DJUBO,3613,3.9
2395,DKG Labs,1156,3.5
2396,DKNY,3613,3.6
2397,DLK Career Development Centre,24316,4.2
2398,DLK Technologies,2601,4.5
2399,DLS Micro Solutions,3613,4.0
2400,DLT Labs,7515,3.7
2401,DLV SoftWare,4480,4.2
2402,DMX Technologies Group,13874,3.3
2403,DNM Technology,3613,3.1
2404,DODO,7226,4.5
2405,DONE by NONE,6161,4.0
2406,DP World,20272,3.6
2407,DQ Entertainment,2890,2.6
2408,DRIVEU,14452,3.8
2409,DROPIT,14452,3.4
2410,DS Smith,8430,3.4
2411,DS Software Solutions,2409,4.1
2412,DSA Systems,22882,3.9
2413,DSD Steel Group,2409,3.5
2414,DSDG,13874,4.7
2415,DSNL,3757,3.3
2416,DSRC,8238,4.1
2417,DSS Software Solutions,15656,3.8
2418,DSS Systems & Software Technologies,27097,3.8
2419,DT Consulting,12043,3.9
2420,DTCC,6022,4.1
2421,DUDE Agency,12043,3.9
2422,DUTY FIRST CONSULTING,4191,3.4
2423,DV Tech Services,2746,3.4
2424,DWP Global,2047,3.5
2425,DX Engineering,3179,2.6
2426,DXC Medical Recruitment,4817,4.6
2427,DXC Technology,7851,3.5
2428,DXMinds Technologies,5419,3.7
2429,DaDa,1204,3.0
2430,Dabba,12043,3.8
2431,Dabkick,8430,2.8
2432,Daboya Technologies,12790,3.6
2433,Dabslek,13201,4.0
2434,Dabur India Limited,3613,4.0
2435,Dad & Dave’s Turf,18065,3.9
2436,Dadu,14018,3.7
2437,Daffodil Health,2746,5.0
2438,Daffodil Software,3854,3.733333333333333
2439,Dahlia Technologies,2168,3.2
2440,Daily Ajit,6022,3.0
2441,Daily Rounds,11441,3.7
2442,DailyObjects,2312,3.8
2443,Dailyhunt,20473,4.0
2444,Dainik Bhaskar,2409,3.5
2445,Daksh Energy Systems,4625,4.0
2446,Daksh Solutions,6022,4.5
2447,Daloopa,38538,3.1
2448,Damco Solutions,9635,3.8
2449,Dangal Games,6022,1.0
2450,Danish Refugee Council,2023,4.0
2451,Danlaw Technologies India,3275,3.3
2452,Danske IT and Support Services,19871,3.7
2453,Danush Systems & Solutions,3613,3.0
2454,Daphnis Lab,5120,4.0
2455,Darshan Soft-Tech,2409,4.2
2456,Darwinbox,8610,3.75
2457,Dassault Systemes,12059,3.766666666666667
2458,Data Cluster Systems,3613,5.0
2459,Data Dimensions,11995,2.7
2460,Data Entry,2409,4.2
2461,Data Intensity,6551,3.1
2462,Data Migration Resources,1204,4.3
2463,Data Nova (Norway),7226,4.0
2464,Data Peace,1012,4.6
2465,Data Ratings Intelligence,9635,3.0
2466,Data Reward,1204,3.95
2467,Data Solutions Technologies,2023,3.0
2468,Data Spot IT Solutions,2409,4.0
2469,DataCore,12043,3.7
2470,DataEvolve Solutions,3468,5.0
2471,DataFlair (India),1445,2.9
2472,DataPot,3613,4.1
2473,DataRPM,7226,3.0
2474,DataSmart,3613,3.8
2475,DataStax,24086,4.0
2476,DataVision,7226,3.2
2477,DataWENS Technologies,7804,5.0
2478,DataWeave,13816,4.4
2479,DatabaseUSA,1204,3.7
2480,Datability Solutions,8430,4.5
2481,Datacapten Technologies,4480,3.8
2482,Datacore Technologies,6937,3.1
2483,Datagres,7226,2.4
2484,Datagrokr,7226,4.6
2485,Datalysys,3613,4.9
2486,Datamatics Global Services,8689,3.3
2487,Datametica,4817,4.3
2488,Datami,10839,4.3
2489,Dataphi Labs,5781,3.8
2490,Datapoint Info Solutions,3492,3.5
2491,Datasol Innovative Labs,1734,4.4
2492,Datateck,4817,3.3
2493,Datavail,11152,3.4
2494,Dataweave,8430,4.5
2495,Datawrkz,10839,4.1
2496,Datayaan,2409,3.2
2497,Datazzle Technology Services,3613,5.0
2498,Datum Software,14452,4.1
2499,David Jones,6792,3.7
2500,David Weekley Homes,12043,4.5
2501,Davinta Finserv,13248,4.0
2502,Day1 Technologies,9635,4.6
2503,DayToDay Health,27699,3.6
2504,Db,7226,4.0
2505,DbCom,9032,3.3
2506,Dcoder,4793,4.2
2507,Dcrew Technology Solutions,4817,4.2
2508,DeTrans Solutions,1445,4.0
2509,DeVry University,8430,3.6
2510,DealShare,16258,3.8
2511,DealerSocket,10839,3.2
2512,Dean Infotech,4191,4.8
2513,DebugsBunny,8430,4.2
2514,Decartem,289,4.6
2515,Decathlon,8731,4.0
2516,Decathlon Sports Club,2264,4.2
2517,Deccansoft,3179,4.2
2518,Decentro,1204,4.4
2519,Decimal Point Analytics,8430,3.9
2520,Decimal Technologies,8129,3.9
2521,Decipher Zone Softwares,7226,4.5
2522,Deebecon,52990,3.9
2523,Deemag Infotech,10839,3.8
2524,Deep Compute,2409,4.4
2525,Deep Minds,6792,3.0
2526,Deep Vision (CA),19269,4.0
2527,DeepBiz,3613,5.0
2528,DeepIQ,13248,5.0
2529,DeepLogicTech,7338,4.0
2530,DeepMind,7226,5.0
2531,Deepak Fertilisers and Petrochemicals Corporation Limited,3613,3.8
2532,Deepak Gupta,2409,4.0
2533,Deepashree Ballodi,8430,3.9
2534,Deepen AI,14452,3.8
2535,Deevas Techno Soft India,3613,3.5
2536,Default,6022,4.7
2537,Defence Research & Development Laboratory,3613,4.6
2538,Defence Research & Development Organisation,3773,4.333333333333333
2539,Define Labs,8687,3.6
2540,Deftouch Interactive Art,8430,4.8
2541,Dehaat,31312,4.8
2542,Deja View Concepts,7226,4.0
2543,Delaine Technologies,2409,4.4
2544,Delhi Technological University,14452,4.1
2545,Delhivery,9663,3.7
2546,Delivery Hero,2409,3.8
2547,Dell,15656,3.9
2548,Dell Anno,1204,3.4
2549,Dell Technologies,10194,4.3
2550,Della Group,11417,3.5
2551,Delmon Solutions,8238,4.7
2552,Deloitte,9243,4.0
2553,Deloz,15054,4.1
2554,Delphi,3757,3.3
2555,Delphix,13247,4.2
2556,Delta Star Technologies,5997,4.5
2557,Deltax,4592,3.2999999999999994
2558,Deltra Soft Technologies,6824,4.5
2559,Deluxe,4817,3.6
2560,Deluxe Entertainment,5347,3.2
2561,Demandbase,16860,4.7
2562,Demansol,2409,3.7
2563,Denodo,9635,3.8
2564,Dentsu,1734,3.7
2565,Dentsu World Services,8430,4.3
2566,Denver Public Schools,3613,3.4
2567,Denvik Technology,3035,3.9
2568,Depex Technologies,4480,4.9
2569,Deqode,4817,4.4
2570,Derien Innovative Technologies,2890,4.0
2571,Design Esthetics,3613,4.6
2572,Design House,3035,2.6
2573,Design House (India),2457,2.0
2574,Design Shore,1204,3.5
2575,Design Webtech,4817,4.0
2576,DesignBids,2746,4.4
2577,Designoweb Technologies,3131,4.4
2578,Designurway,3179,4.0
2579,Deskera,10333,3.95
2580,Deskfactors,9152,4.0
2581,Destek Infosolutions,10098,4.5
2582,Detox Technologies,7226,3.6
2583,Detroit Engineered Products,6022,3.3
2584,Deuce Technology Solutions,3613,4.0
2585,Deutsche Bank,11282,3.9
2586,Deutsche Telekom,10713,4.1
2587,Deutscher Gewerkschaftsbund,6022,1.0
2588,Dev Information Technology,8430,4.2
2589,DevGenesis,6022,4.0
2590,DevOn (Netherlands),20473,4.4
2591,DevRabbit,4014,3.7999999999999994
2592,Devathon,3291,2.7999999999999994
2593,DevelopScripts,3613,4.4
2594,DevelopeR PoinT StudiO,4191,5.0
2595,Developer,4817,4.0
2596,Developer On Rent,3613,3.1
2597,Developerprogram.com,2890,3.8
2598,Development Dimensions International,7226,3.4
2599,Develsigners,3613,3.8
2600,Deven Infotech,867,4.1
2601,Devendran T,2409,4.0
2602,"Devesh Pathak, CPA",6937,3.6
2603,Devidas,4191,4.0
2604,Devslane,3564,4.0
2605,Devyani Khambete MD PC ​,6022,5.0
2606,Devza,22882,4.7
2607,Dew CIS Solutions,1204,4.3
2608,Dew Solutions,12846,4.2
2609,Dex (TX),3757,5.0
2610,DexIdeate,3035,4.0
2611,Dexbytes Infotech,3613,4.2
2612,Dexciss,2409,3.0
2613,Dexlock,3757,4.4
2614,Dexra Soultions,2409,2.2
2615,Dgraph Labs,22882,3.4
2616,Dhanuka Electrotech,11128,2.4
2617,Dhanush InfoTech,2240,3.3
2618,Dhanwin Software Services,4817,3.9
2619,Dhatri Info Solutions,3396,4.0
2620,Dhatsol,2348,3.1
2621,Dhii Health Tech,6022,2.9
2622,Dhobi G,1445,3.8
2623,DhruvSoft,16860,4.4
2624,Dhwaniris,3336,3.8
2625,Dhyan Infotech,14163,3.8
2626,Dhyram,4817,4.1
2627,Di Duca Law,12043,4.1
2628,DiGINEXT,5492,3.3
2629,Dia&Co,16860,3.9
2630,Diageo,14452,4.1
2631,Diamanti,12621,3.5
2632,Diamondpick,7226,4.6
2633,Diaprix Web Solutions,6792,4.5
2634,Diario AS,3613,3.5
2635,Diaspark,7515,3.3
2636,Diatoz Solutions,2408,4.0
2637,Diebold Nixdorf,18065,3.5
2638,Diet Code,10839,4.4
2639,Digi Delight Technologies,2457,5.0
2640,Digi Interacts,4914,4.2
2641,DigiAppStudio,2746,3.9
2642,DigiCollect,6174,3.9
2643,DigiGrowHub,3613,4.6
2644,DigiLocker,1445,3.9
2645,Digikraft Technologies,6792,3.6
2646,Digimaker,18065,3.9
2647,Digimantra Technologies,2023,3.9
2648,Diginnovators Solutions,6022,4.1
2649,Digiretail Software India,9538,4.05
2650,Digirex Technologies,5347,5.0
2651,Digiryte,5925,4.4
2652,Digit Insurance,10718,3.8
2653,DigitUp,4191,4.7
2654,Digital Aristotle,18065,3.1
2655,Digital Avenues,13850,4.3
2656,Digital Circuits,2409,3.0
2657,Digital Convergence Technologies,3613,4.8
2658,Digital Guardian,18065,3.8
2659,Digital Horizons,5781,2.9
2660,Digital Ink,2409,4.9
2661,Digital Jalebi,3613,4.3
2662,Digital Jeevi Solutions,3613,2.4
2663,Digital Lync,7226,4.1
2664,Digital Minds (India),4913,3.7
2665,Digital Raju,118023,4.3
2666,Digital River,3613,3.8
2667,Digital Security (France),4817,4.0
2668,Digital.ai,8430,3.5
2669,DigitalAPICraft,8430,4.1
2670,DigitalTrack Solutions,2890,4.1
2671,DigitalTrust,7226,3.7
2672,Digitally Xpert,5492,5.0
2673,Digitalonco Solutions,4817,5.0
2674,Digitera Technologies,2409,4.0
2675,Digitrix Technologies,31312,3.9
2676,Digité,2746,4.0
2677,Digival Solutions,7226,3.3
2678,Digixy Global Consulting,5925,3.1
2679,Dignitas Digital,6022,4.4
2680,Diksha Technologies,6416,4.0
2681,Diligent Infosystems,1301,4.8
2682,Dimakh Consultants,2312,3.4
2683,Dineout,29506,3.8
2684,Dinero Software,6022,4.4
2685,Dinesh M,2409,4.0
2686,Dipshika,4191,4.0
2687,DireCtQuant,2746,4.5
2688,Direct Travel,9635,4.1
2689,Directi,17781,4.0
2690,DiscoverWeb,1204,4.0
2691,"Discovery, Inc.",18667,3.8
2692,"District Hospital, Vijayapura",3613,4.0
2693,DistrictD,1445,4.2
2694,Divakar,7226,4.0
2695,Divergent Infosoft Technologies,8093,4.5
2696,Diverse Lynx,11122,3.7
2697,Divum,5796,3.7999999999999994
2698,Divya Himachal Prakashan,7948,3.2
2699,Divya ojha,16860,3.9
2700,Divyansh,38538,3.7
2701,Diyar United,12043,3.75
2702,Django,11561,4.5
2703,Dluffy,3613,4.0
2704,Do Your Thng,1301,4.2
2705,DoSelect,2601,3.8
2706,Dobariya Rahul,16860,4.0
2707,DocASAP,16860,4.0
2708,DocOn Technologies,24086,4.0
2709,DocTalk Solutions,16860,3.4
2710,DocVita,1734,4.5
2711,Doceree,4817,4.6
2712,Docket Tech,4817,2.8
2713,DocsApp,14452,3.3
2714,Doctalk Solutions (India),22882,3.9
2715,Doctily Digital Health,18065,1.0
2716,Doctor Anywhere,18065,3.2
2717,Dodoteks,2409,2.7
2718,Doffert,7226,3.9
2719,Domin,6022,3.4
2720,Domino Data Lab,19269,4.3
2721,Domino's,2601,3.5
2722,Don't Know,15957,3.95
2723,DoozieSoft,1445,4.0
2724,Dot Com Infoway,4817,3.9
2725,DotMappers IT,4817,2.9
2726,DotNet Solutions,10694,4.0
2727,DotPe,12235,3.3666666666666667
2728,Dotcod,4817,5.0
2729,DotcomWeavers,3324,4.2
2730,Dotdash Meredith,7226,3.7
2731,Dotline Web Media,2409,3.6
2732,Dotsolved Systems,8430,4.5
2733,Dotsquares,4817,4.1
2734,Dotvik Solutions,3757,3.7
2735,DoubleSpring,6575,4.1
2736,DoubtNut,14753,3.4
2737,Douglas J Aveda Institutes & Salons,19269,3.3
2738,Dover India,13729,4.0
2739,Dovlin Technologies,4817,2.2
2740,DowTechie,2601,4.7
2741,Dozee,6391,4.4
2742,Dqube Global Software Services,2505,4.4
2743,Dr Roundz,1204,4.0
2744,Dr. Abdul Wahid,2168,1.0
2745,"Dr. Akhil Sharma, MD.",21678,5.0
2746,Dr. Ashwani Kumar,9635,4.0
2747,Dr. B.V. Raju Institute of Technology,3854,4.6
2748,"Dr. Kongara, Padmaja R Dental Clinic",10116,4.0
2749,"Dr. Mohammed I. Zahoor, MD",7226,3.9
2750,"Dr. Mustafa A. Hammad, MD",7226,5.0
2751,Dr. Rajkumar's Learning App,2409,5.0
2752,Dr. Reddy's,6021,3.9
2753,Dragon mobile,1445,4.0
2754,Draup,8647,4.1
2755,Dream Sports,22882,3.9
2756,Dream11,21517,4.1
2757,DreamOrbit Softech,10839,4.7
2758,DreamVu,20473,2.4
2759,DreamX,19269,5.0
2760,Dreamcare Developers,2457,4.6
2761,Dreamfond,2601,2.9
2762,Drip Capital,15656,4.3
2763,DrivAmp,867,4.1
2764,DriveTurn,6022,4.5
2765,Drivestream (India),434,4.1
2766,Drivezy,7226,2.8
2767,Drlive,10839,3.95
2768,Droid5,1204,4.6
2769,Droidshift,4336,5.0
2770,Drone Racing League,3613,3.6
2771,Droom,11677,4.5
2772,Dropshop,9635,4.8
2773,Dror (India),5989,4.5
2774,Drucare,3613,4.4
2775,Druckhaus Duisburg OMD,16860,4.6
2776,Drugwrite Services,1156,4.3
2777,Druva,12903,4.1
2778,DuPont,14018,3.9
2779,Ducere Technologies,7659,3.3
2780,DuckTale IT Services,1156,3.2
2781,Ducont,3613,3.5
2782,Dukaan,1204,3.6
2783,Dun & Bradstreet,7226,3.9
2784,Dunkin' Donuts,6022,3.3
2785,Dunst Consulting,7515,3.2
2786,Dunzo,14054,4.1
2787,Durfi,3613,4.4
2788,Durity,3035,4.5
2789,Duru Cooperation,4817,3.7
2790,Durva Global,2746,4.0
2791,Duta,1204,4.6
2792,Duxes Labs,1012,3.7
2793,Dv,26495,4.0
2794,Dvara Trust,4817,3.1
2795,Dxcorr Design,2409,3.9
2796,DyAnsys,2023,3.8
2797,DynPro,10931,3.8
2798,Dynamic Resource Group,38538,1.9
2799,Dynamic Selling Technologies,6022,4.0
2800,Dynatrace,6374,4.4
2801,Dyte,26495,4.9
2802,E&G Anderson,7226,3.8
2803,E-Parisaraa,3902,4.5
2804,E-Ring,5427,3.9
2805,E-SEO Solutions,3613,4.3
2806,E.D,7226,3.4
2807,E2,3613,3.8
2808,E2 Infosystems,2938,4.1
2809,E2 Softwares,1156,4.0
2810,E2open,10839,3.8
2811,E3 Software Services,5347,4.7
2812,EA Sports,11441,4.0
2813,EBSCO Information Services,1445,3.4
2814,EC Software,1204,3.6
2815,ECI Engineering & Construction Company,3757,3.7
2816,ECI Telecom,14452,4.0
2817,ECS Limited,1734,3.5
2818,EDB,18666,3.4
2819,EDGENeural.ai,6022,4.5
2820,EF Education First,6021,3.6
2821,EF Information Systems,10839,3.6
2822,EFI,4215,3.5
2823,EI Design,6937,4.7
2824,EKA TechServ Pvt Ltd,2409,3.1
2825,EKCS,4914,3.9
2826,EL Group International,6503,2.9
2827,ELK Education Consultants,3709,3.4
2828,EM,6022,3.8
2829,EM Logistics,2409,4.5
2830,EMC,8647,3.7
2831,EMIS Group,9875,3.5
2832,EMPLOYERS,5077,4.1
2833,EMTAC,3179,5.0
2834,ENGIE,3468,3.8
2835,ENIGMASOFT TECHNOLOGIES,3613,2.5
2836,ENSOWT,2890,5.0
2837,ENuke Software,7804,3.1
2838,EOS,4817,3.8
2839,EPAM Systems,12090,3.8999999999999995
2840,EPB IT Services,1301,4.4
2841,EPICMINDS Information Technology,2409,3.3
2842,EPIKInDiFi,9233,3.7000000000000006
2843,EQ,2890,3.5
2844,EQ (China),6022,4.0
2845,EQI,19269,3.9
2846,ESCIA Associes,3468,3.9
2847,ESDS Software Solution,3613,3.9
2848,ESK Technologies,3613,4.5
2849,ESPN,2409,4.1
2850,ESmob Technologies,6118,4.5
2851,ETMONEY,25893,4.5
2852,ETO GRUPPE,14452,2.8
2853,ETP International,5419,4.0
2854,ETS Technologies,7226,4.1
2855,ETark,3757,3.9
2856,EVRY India,6022,3.7
2857,EWRTY,3035,3.9
2858,EWar,6021,4.6
2859,EXE IT,2409,3.8
2860,EXL Service,3324,3.7000000000000006
2861,EY,8967,3.9
2862,EZJobs,9105,4.6
2863,EZOPS,6022,4.3
2864,Eagle Software,2409,3.6
2865,EagleView,12043,3.5
2866,Eamani Tech Pvt Ltd,3011,3.1
2867,EarlySalary.com,3613,4.4
2868,EarnWealth,2890,2.2
2869,EaseMyTrip.com,8430,4.0
2870,Easebuzz,8430,4.0
2871,Easoftech Solutions,7226,3.5
2872,East Consultancy Services,4191,4.4
2873,Easy Eat,14452,5.0
2874,EasyEcom,18065,4.5
2875,EasyReach Solutions,4817,3.5
2876,Easybi Solutions,5419,4.5
2877,Eaton,15054,3.9
2878,EazyDiner,6022,3.8
2879,Ebex,8430,3.7
2880,Ebix,8016,3.1
2881,EbixCash Global Services,3179,1.9
2882,EbixCash World Money,6503,3.2
2883,Ebizz Infotech,4817,4.7
2884,Ebullitent Info Systems,3324,4.5
2885,Echidna,10237,4.1
2886,Eckovation,3950,2.5
2887,Eclature Technologies,2409,3.9
2888,EclecticIQ,25291,3.6
2889,Eclipse Advantage,6792,3.0
2890,EcoEnergy Insights,2890,3.3
2891,Ecola Termite & Pest Control,7226,3.7
2892,Ecom Express,8960,3.8
2893,Ecosil Technologies,2457,3.2
2894,Ecsion,8430,5.0
2895,EdCast,5925,4.3
2896,EdGe Networks,13248,3.6
2897,EdYoda,939,4.300000000000001
2898,Edavate,2746,3.0
2899,Edcams,6022,3.3
2900,Edelweiss Financial Services,11308,3.8
2901,Edfora,4625,4.1
2902,EdgeCanvas,13248,3.5
2903,EdgeVerve Systems,5748,3.7999999999999994
2904,Edgistify,4480,4.2
2905,Edifecs,14452,4.2
2906,Editorialist YX,6021,4.6
2907,Editsoft,7659,3.6
2908,Edooni Solutions,13874,4.0
2909,EduHazze,1445,3.9
2910,EducationZen,6022,3.1
2911,Educational Testing Service,3754,3.5
2912,Educo International,2746,4.0
2913,Edukaizen,1012,3.0
2914,Edumeister,3613,4.0
2915,Edunext Technologies,8671,4.0
2916,Edunomics Tech Solutions,1445,2.6
2917,Edutor Technologies,8430,4.0
2918,Eduvanz,6624,4.0
2919,Edvizo,2168,4.6
2920,Edwisely,4408,4.8
2921,Edzeal,2601,3.1
2922,Effcode Technologies,6022,4.9
2923,Effect Labs,5636,4.7
2924,Effective Digital,15656,3.8
2925,Effectual Infotech,7949,3.4
2926,EffiaSoft,8430,4.1
2927,Efficacy Systems,1156,3.9
2928,Effone Technolgoies,16860,4.4
2929,Efunhub,2409,3.6
2930,Eglogics Softech,3179,4.8
2931,Egnify Technologies,6022,3.0
2932,Eidiko Systems Integrators,2409,3.6
2933,Eigen (India),3613,3.6
2934,Eigerlab Technologies,1806,4.3
2935,Eightfold,32517,4.0
2936,Einsite,5757,4.1
2937,Eiris Connect,4625,2.9
2938,Eitot Technologies,3613,5.0
2939,Ek-Chai Distribution System,20473,4.2
2940,Ekagga Technology,3011,3.5
2941,Elanwrap Technologies,2457,4.5
2942,Election Commission of India,14452,3.1
2943,Electronic Arts,7558,4.1
2944,Electrono Solutions,2746,3.9
2945,Elektronik LAB,3902,4.3
2946,Element14,6022,4.0
2947,Elephant God Enterprises,12043,5.0
2948,Eleva Infotech,2384,3.1
2949,Elevate HQ,18065,4.0
2950,Eli Global,15656,3.0
2951,Eliptico IT Solutions,1590,3.9
2952,Elite Crest,8430,4.0
2953,Elite Innovative Solutions,4817,4.1
2954,ElivoTech Solutions,9635,2.4
2955,Elixar Systems,3035,2.9
2956,Elle Outfits,8527,5.0
2957,Ellen Michaels Presents,6022,3.9
2958,Ellucian,11899,4.0
2959,Elmeasure,2312,3.8
2960,Eloit,2746,5.0
2961,Eloka Enterprises,7226,4.8
2962,Eltropy,12300,4.9
2963,Elucidata (MA),6310,4.0
2964,Elvya Technologies,3613,4.5
2965,Elyah,434,4.0
2966,Embibe,8430,4.3
2967,Embitel Technologies,11551,4.2
2968,Emblix Solutions,2312,4.5
2969,Emerson,14753,3.8249999999999997
2970,Emeryville Police Department,6664,4.7
2971,Emico Solutions,2023,5.0
2972,Emilda Solutions,6022,4.4
2973,Eminosoft,2409,4.3
2974,Empasys,2601,3.9
2975,Emphasis,7828,3.6
2976,Emphorasoft,2409,4.3
2977,Emplay,13248,4.4
2978,Employee Based Systems,3613,3.4
2979,Employee Solutions,8310,3.9
2980,Employer,6022,3.9
2981,Employer Flexible,5130,4.2
2982,Employer Recursos Humanos,5058,4.0
2983,Empower,6021,3.75
2984,Empower Integrated Solutions (P) Ltd.,4914,3.5
2985,Emproto Technologies,4817,4.7
2986,Emsang Enterprises,2409,4.0
2987,Emtec,7827,4.2
2988,Emvento Technologies,4817,4.4
2989,Emvoke Technologies,4191,4.7
2990,Emxcel Travel Solutions,4576,3.2
2991,EnLume,3613,4.2
2992,EnR Consultancy Services,9635,4.5
2993,Enable Data,16057,2.4
