id,total,to_distribute,n_elements,std_div_mod,len_votes,mean_dev
5084, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5085, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5086, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5087, 35.0, 35, 614.0, 17.1054, 4, 0.0012
5088, 35.0, 35, 607.0, 16.772, 4, 0.0021
5089, 35.0, 35, 617.0, 17.1006, 4, 0.0012
5090, 35.0, 35, 613.0, 16.9893, 4, 0.002
5091, 35.0, 35, 609.0, 16.9998, 4, 0.0018
5092, 35.0, 35, 619.0, 17.3317, 4, 0.003
5093, 35.0, 35, 617.0, 17.1006, 4, 0.0014
5094, 35.0, 35, 612.0, 17.1007, 4, 0.0025
5095, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5096, 35.0, 35, 609.0, 16.878, 4, 0.0012
5097, 35.0, 35, 613.0, 16.9893, 4, 0.002
5098, 35.0, 35, 617.0, 17.1006, 4, 0.0012
5099, 34.0, 35, 610.0, 16.8888942, 4, 0.0008
5100, 35.0, 35, 608.0, 16.7624, 4, 0.0033
5101, 35.0, 35, 605.0, 16.7667, 4, 0.0014
5102, 34.0, 35, 611.0, 16.7777832, 4, 0.0029
5103, 35.0, 35, 614.0, 16.9829, 4, 0.002
5104, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5105, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5106, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5107, 35.0, 35, 609.0, 16.878, 4, 0.0012
5108, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5109, 34.0, 35, 610.0, 16.6666722, 4, 0.0041
5110, 35.0, 35, 611.0, 16.9846, 4, 0.0006
5111, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5112, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5113, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5114, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5115, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5116, 35.0, 35, 612.0, 16.8732, 4, 0.0033
5117, 34.0, 35, 611.0, 16.7777832, 4, 0.0029
5118, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5119, 35.0, 35, 607.0, 16.772, 4, 0.0021
5120, 35.0, 35, 607.0, 16.772, 4, 0.0021
5121, 35.0, 35, 615.0, 17.0962, 4, 0.0006
5122, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5123, 35.0, 35, 611.0, 16.9846, 4, 0.0006
5124, 35.0, 35, 609.0, 16.878, 4, 0.0012
5125, 35.0, 35, 605.0, 16.7667, 4, 0.0014
5126, 35.0, 35, 607.0, 16.772, 4, 0.0021
5127, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5128, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5129, 35.0, 35, 613.0, 16.8843, 4, 0.0029
5130, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5131, 34.0, 35, 605.0, 16.6666722, 4, 0.0023
5132, 35.0, 35, 614.0, 16.9829, 4, 0.0024
5133, 35.0, 35, 617.0, 17.1006, 4, 0.0012
5134, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5135, 33.0, 35, 602.0, 16.6666711, 4, 0.0012
5136, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5137, 35.0, 35, 615.0, 17.0962, 4, 0.0014
5138, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5139, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5140, 34.0, 35, 607.0, 16.7777822, 4, 0.0012
5141, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5142, 35.0, 35, 616.0, 17.1072, 4, 0.0008
5143, 35.0, 35, 612.0, 17.1007, 4, 0.0025
5144, 35.0, 35, 613.0, 16.9893, 4, 0.0029
5145, 34.0, 35, 608.0, 16.6666722, 4, 0.0033
5146, 35.0, 35, 609.0, 16.878, 4, 0.0014
5147, 35.0, 35, 607.0, 16.8758, 4, 0.0014
5148, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5149, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5150, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5151, 35.0, 35, 614.0, 16.9829, 4, 0.0024
5152, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5153, 34.0, 35, 605.0, 16.6666722, 4, 0.0021
5154, 34.0, 35, 618.0, 17.0000053, 4, 0.0024
5155, 35.0, 35, 614.0, 17.1054, 4, 0.0029
5156, 35.0, 35, 612.0, 16.7682, 4, 0.0041
5157, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
